apartment_id,price_usd,total_area,living_area,kitchen_area,floor,floors_count,rooms_count,district,wall_type,latitude,longitude
34081906,90000,97.0,70.0,10.0,1,9,4,Оболонь,кирпич,50.52670857,30.51503443
33231010,40000,28.4,12.6,6.2,3,9,1,Соцгород,кирпич,50.4385947,30.61731934
34071199,99000,43.0,22.6,13.0,11,13,1,Днепровский,,50.43524353,30.62152076
33945495,230000,93.2,50.1,13.3,10,14,3,Паньковщина,кирпич,50.43788752,30.50128741
34081935,175000,77.0,38.3,17.2,3,20,2,Солдатская Слободка,кирпич,50.45078691,30.48690225
34081932,495000,110.0,68.0,27.0,4,19,4,Центр,керамический блок,50.45205593,30.50289522
34081904,112000,54.0,36.0,11.0,5,16,2,Новое строение,кирпич,50.41810554,30.52092521
34081808,85000,72.0,50.0,8.0,7,9,3,Деснянский,панель,50.47303836,30.66938871
34081623,290000,73.0,35.3,14.2,6,20,2,Шевченковский,кирпич,50.45078691,30.48690225
34081886,110000,40.0,16.0,15.0,16,26,1,Оболонский,монолитно-каркасный,50.48509,30.53276
34081858,220000,100.0,45.8,17.9,21,25,2,Демеевка,кирпич,50.40038481,30.52027843
34081901,117000,43.0,22.0,10.0,3,16,1,Русановка,кирпич,50.44294995,30.59201271
34081863,86000,43.0,19.0,13.0,3,7,1,Татарка,панель,50.4637346,30.49766488
34081595,175000,90.0,63.0,9.0,3,5,4,Новое строение,кирпич,50.43721705,30.5157122
34081854,185000,77.8,50.0,20.0,7,10,2,Подол,кирпич,50.47055021,30.51370482
34081793,380000,146.0,81.0,15.0,12,22,4,Черная Гора,монолитно-каркасный,50.41069743,30.54551723
34050897,128000,53.8,29.0,7.0,4,7,2,Новое строение,кирпич,50.41975863,30.52172943
34081821,72500,44.0,10.0,16.0,25,26,1,Минский Массив,монолитно-каркасный,50.52178165,30.46379172
34078069,103000,101.3,55.8,12.9,13,26,3,Позняки,кирпич,50.41494251,30.61518672
34081767,105000,60.0,31.6,24.0,9,9,2,Днепровский,кирпич,50.43555111,30.61657064
34081766,130000,48.4,25.5,20.0,1,26,1,Деснянский,кирпич,50.46844466,30.61024368
34081769,55000,47.0,24.8,6.0,5,9,2,Днепровский,кирпич,50.43124205,30.61032037
34081768,96000,70.0,36.9,8.0,3,9,3,Днепровский,кирпич,50.49213805,30.57659404
34081777,170000,81.0,55.0,19.0,2,9,1,Саперное Поле,кирпич,50.41612446,30.52392562
34081457,55000,45.0,16.3,8.9,4,5,1,Быковня,кирпич,50.47904392,30.67159249
34081820,165000,66.0,39.0,16.0,4,4,1,Липки,кирпич,50.44639599,30.52319867
34081746,143000,63.0,45.8,9.1,6,9,1,Голосеевский,панель,50.38525255,30.44648386
34081794,97000,46.0,11.0,15.0,21,21,1,Шулявка,газоблок,50.44730459,30.4215603
34081805,87000,75.5,40.6,8.5,12,20,3,,кирпич,50.3966808,30.6425022
34081307,84000,40.0,10.0,24.0,23,26,1,Совки,монолитно-каркасный,50.41198262,30.47171102
34081804,52000,42.0,22.1,7.0,5,5,2,Лукьяновка,кирпич,50.46564776,30.47028173
34048245,175000,87.0,38.0,21.0,18,23,2,Черепанова гора,монолитно-кирпичный,50.42488952,30.52245259
34081510,990000,250.0,150.0,35.0,26,26,4,Оболонь,монолит,50.49872119,30.49735311
34076807,475000,132.0,51.0,30.0,18,21,4,Саперное Поле,монолитно-каркасный,50.41976824,30.52673565
34081795,155000,98.0,59.0,18.0,8,25,3,Шевченковский,кирпич,50.46804038,30.43109995
34081720,180000,75.0,18.0,35.0,19,26,2,Лукьяновка,кирпич,50.45919114,30.48404827
34081786,188000,76.0,42.0,23.0,20,23,3,Подольский,газоблок,50.5024812,30.41012675
34081474,149000,82.0,50.0,12.0,1,16,3,Святошино,монолитно-каркасный,50.44590449,30.381178
34081785,185000,106.9,56.3,16.0,16,20,3,Позняки,,50.40781916,30.6227664
34080061,160000,80.0,60.0,20.0,10,26,3,Черная Гора,монолитно-каркасный,50.407146375818655,30.540970668570992
33887684,45000,43.4,28.8,6.1,3,5,2,Нивки,кирпич,50.47006581,30.41631657
34081763,180000,75.0,18.0,35.0,19,20,2,Лукьяновка,кирпич,50.45919114,30.48404827
34081721,990000,250.0,190.0,35.0,26,26,3,Оболонь,монолит,50.49872119,30.49735311
34081755,180000,80.0,50.0,16.0,20,26,2,Чоколовка,,50.41201549,30.59880585
34081725,125000,44.0,18.0,25.0,19,23,1,Подольский,газоблок,50.5024812,30.41012675
34081716,170000,81.0,55.0,19.0,2,9,4,,кирпич,50.41612446,30.52392562
34081733,170000,64.0,40.0,15.0,10,23,2,Черная Гора,кирпич,50.41356245,30.54403705
34081731,150000,70.0,38.0,16.0,27,34,2,Теремки-2,кирпич,50.3707656,30.46116947
34081552,300000,88.0,46.3,32.0,10,25,3,Печерский,кирпич,50.41976824,30.52673565
34067012,88000,95.0,52.1,10.7,11,18,3,Дарницкий,кирпич,50.4123957,30.61390737
34081538,135000,107.7,56.7,19.9,8,18,3,Дарницкий,кирпич,50.42427226,30.64347455
34067067,74999,70.1,38.4,9.4,7,9,3,Подольский,панель,50.51241365,30.43093489
34067111,211200,132.0,101.1,18.6,12,30,1,Черная Гора,монолитно-кирпичный,50.41148566,30.54447445
34081625,259000,113.3,63.0,15.6,2,5,3,Липки,кирпич,50.44639599,30.52319867
34081701,275000,160.0,84.3,25.0,14,16,3,Шулявка,панель,50.45907825,30.45050572
34081584,990000,250.0,166.0,16.0,25,26,4,Оболонь,монолитно-каркасный,50.49948868,30.49727503
34081586,118000,62.0,31.0,27.0,6,10,2,Феофания,кирпич,50.35082525,30.47732755
34081571,65000,34.0,17.0,6.0,1,9,1,Оболонь,кирпич,50.50032591,30.51406454
34059600,46000,36.0,20.0,10.0,10,18,1,Караваевы Дачи,,50.44232732,30.44362484
34081502,49999,34.0,18.1,6.8,9,9,1,Святошинский,кирпич,50.43509965,30.38408496
34081599,330000,85.0,54.0,17.0,10,23,2,Зверинец,кирпич,50.40492918,30.55432172
34080638,170000,84.0,44.2,15.6,25,25,3,Позняки,,50.40396393,30.65003472
34080663,93000,40.0,21.1,7.4,24,25,1,Позняки,,50.40396393,30.65003472
34081585,179000,65.0,21.0,10.0,6,22,2,Черная Гора,кирпич,50.41356245,30.54403705
34081427,83000,51.4,29.0,7.7,5,9,2,Оболонь,панель,50.51655405,30.5161388
34081579,140000,50.0,19.0,13.0,22,26,1,Никольская Слободка,кирпич,50.4606556,30.58325301
34081266,92000,44.0,28.0,6.0,3,9,2,Черепанова гора,кирпич,50.4348773,30.52924421
34085853,80500,55.6,32.4,8.4,1,5,2,Соломянка,кирпич,50.43344056,30.47282044
34081781,79000,45.0,23.7,10.0,19,25,1,Багриновая гора,железобетон,50.37825594,30.54021565
34141928,120000,68.0,16.3,11.0,2,4,1,Черепанова гора,кирпич,50.43669239,30.5163576
